date,year,month,anomaly_degC,source,source_detail,uncertainty_p5_degC,uncertainty_p95_degC
0005-01-01,5,1,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-02-01,5,2,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-03-01,5,3,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-04-01,5,4,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-05-01,5,5,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-06-01,5,6,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-07-01,5,7,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-08-01,5,8,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-09-01,5,9,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-10-01,5,10,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-11-01,5,11,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0005-12-01,5,12,0.08,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.13,0.37
0006-01-01,6,1,0.09,IPCC_AR6_PAGES2k_reconstruction_monthly_filled,Annual decadal-smoothed reconstruction repeated for each month,-0.12,0.37
